序号	基金代码	基金简称	日期	单位净值	累计净值	日增长率	近1周	近1月	近3月	近6月	近1年	近2年	近3年	今年来	成立来
1218	673043	西部利得行业	9月13日	1.042	1.042	0.00%	-0.10%	0.77%	3.68%	---	---	---	---	---	3.89%
1219	002097	国富新价值混	9月13日	1.042	1.042	0.10%	-0.10%	0.39%	2.46%	3.17%	---	---	---	3.58%	4.10%
1220	002266	博时安和18	9月9日	1.038	1.038	---	-0.10%	0.19%	2.67%	2.87%	---	---	---	---	3.80%
1221	001566	南方利达A	9月12日	1.037	1.037	-0.19%	-0.10%	0.29%	1.07%	1.97%	3.60%	---	---	2.37%	3.70%
1222	001945	东方红信用债	9月13日	1.037	1.057	0.00%	-0.10%	0.00%	2.14%	2.64%	---	---	---	3.95%	5.72%
1223	001464	光大鼎鑫混合	9月13日	1.036	1.036	0.00%	-0.10%	0.58%	3.08%	4.23%	4.96%	---	---	2.27%	3.60%
1224	002088	国富新机遇混	9月13日	1.036	1.036	0.00%	-0.10%	0.49%	2.57%	3.60%	---	---	---	3.50%	3.60%
1225	050128	博时安心收益	9月9日	1.035	1.309	---	-0.10%	0.19%	3.50%	3.60%	8.68%	22.79%	28.47%	3.28%	31.43%
1226	160131	南方聚利1年	9月12日	1.036	1.251	-0.10%	-0.10%	-0.38%	1.77%	1.87%	5.43%	19.32%	---	2.16%	27.50%
1227	002267	博时安和18	9月9日	1.035	1.035	---	-0.10%	0.10%	2.58%	2.68%	---	---	---	---	3.50%
1228	519611	银河旺利混合	9月13日	1.036	1.036	0.10%	-0.10%	-0.10%	2.88%	---	---	---	---	---	3.50%
1229	160134	南方聚利C	9月12日	1.035	1.244	-0.10%	-0.10%	-0.38%	1.67%	1.67%	5.03%	---	---	1.96%	15.36%
1230	000859	融通通瑞债券	9月13日	1.033	1.033	-0.10%	-0.10%	-0.10%	1.67%	2.58%	3.09%	---	---	-3.09%	3.40%
1231	519641	银河鸿利混合	9月13日	1.034	1.034	0.00%	-0.10%	0.19%	1.57%	2.48%	4.13%	---	---	2.38%	3.40%
1232	002098	国富新价值混	9月13日	1.035	1.035	0.10%	-0.10%	0.39%	2.38%	2.99%	---	---	---	2.99%	3.40%
1233	002065	景顺长城景盛	9月13日	1.037	1.037	0.29%	-0.10%	0.10%	2.48%	3.92%	---	---	---	---	3.40%
1234	000944	工银中高等级	9月13日	1.034	1.034	0.00%	-0.10%	0.19%	2.89%	2.68%	---	---	---	3.30%	3.40%
1235	002421	新华信用增强	9月13日	1.034	1.034	0.00%	-0.10%	0.39%	3.19%	---	---	---	---	---	3.40%
1236	000279	华商红利优选	9月13日	1.034	1.837	0.10%	-0.10%	0.88%	0.00%	5.95%	5.41%	92.46%	---	-5.58%	109.78%
1237	001392	国富金融地产	9月13日	1.033	1.033	0.00%	-0.10%	0.19%	2.38%	3.51%	5.19%	---	---	3.20%	3.30%
1238	001963	中欧天禧债券	9月13日	1.034	1.034	0.10%	-0.10%	0.10%	1.87%	2.08%	---	---	---	3.09%	3.30%
1239	001946	东方红信用债	9月13日	1.034	1.054	0.00%	-0.10%	-0.10%	2.05%	2.55%	---	---	---	3.76%	5.42%
1240	002066	景顺长城景盛	9月13日	1.034	1.034	0.19%	-0.10%	0.19%	2.38%	3.72%	---	---	---	---	3.20%
1241	020029	国泰创利债券	9月13日	1.032	1.062	0.10%	-0.10%	-0.10%	0.10%	-0.19%	0.00%	---	---	-0.10%	6.16%
1242	001570	南方利安A	9月12日	1.031	1.031	-0.19%	-0.10%	0.39%	1.58%	3.20%	---	---	---	2.89%	3.10%
1243	161824	银华永兴纯债	9月13日	1.029	1.029	0.00%	-0.10%	0.00%	2.08%	2.29%	4.10%	8.79%	13.97%	3.08%	17.16%
1244	002365	国联安鑫禧灵	9月13日	1.03	1.03	0.10%	-0.10%	0.10%	1.78%	2.59%	---	---	---	---	2.90%
1245	002297	方正富邦优选	9月13日	1.028	1.028	-0.10%	-0.10%	-0.10%	2.59%	2.90%	---	---	---	---	2.90%
1246	001794	华福朝阳债券	9月12日	1.029	1.029	-0.10%	-0.10%	0.10%	1.98%	2.18%	---	---	---	2.69%	2.90%
1247	002220	南方瑞利保本	9月12日	1.028	1.028	-0.10%	-0.10%	0.19%	1.48%	2.70%	---	---	---	2.80%	2.80%
1248	002476	博时安瑞18	9月9日	1.027	1.027	---	-0.10%	0.10%	2.60%	---	---	---	---	---	2.70%
1249	002494	兴业聚盈灵活	9月13日	1.029	1.029	0.19%	-0.10%	0.10%	2.60%	---	---	---	---	---	2.70%
1250	002477	博时安瑞18	9月9日	1.025	1.025	---	-0.10%	0.00%	2.50%	---	---	---	---	---	2.50%
1251	002293	南方益和保本	9月12日	1.024	1.024	-0.19%	-0.10%	0.00%	1.39%	2.20%	---	---	---	---	2.40%
1252	001781	建信现代服务	9月13日	1.023	1.023	-0.10%	-0.10%	1.39%	2.09%	1.99%	---	---	---	---	2.40%
1253	519971	长信改革红利	9月13日	1.024	1.287	0.10%	-0.10%	0.29%	1.55%	2.40%	2.86%	28.21%	---	1.39%	28.98%
1254	002590	山西证券保本	9月12日	1.023	1.023	---	-0.10%	0.00%	2.10%	---	---	---	---	---	2.30%
1255	000189	易方达保本一	9月13日	1.024	1.024	0.10%	-0.10%	-0.39%	1.89%	2.20%	---	---	---	---	2.30%
1256	001847	国寿安保尊盈	9月9日	1.022	1.022	---	-0.10%	0.39%	2.40%	2.82%	---	---	---	2.61%	2.20%
1257	000326	南方顺达	9月12日	1.022	1.022	-0.20%	-0.10%	0.20%	0.99%	2.10%	---	---	---	1.59%	2.20%
1258	002296	长城久安保本	9月13日	1.022	1.022	0.00%	-0.10%	0.00%	1.49%	2.10%	---	---	---	---	2.20%
1259	002589	山西证券保本	9月12日	1.021	1.021	---	-0.10%	0.00%	2.00%	---	---	---	---	---	2.10%
1260	002167	南方顺康	9月12日	1.02	1.02	-0.20%	-0.10%	0.20%	0.89%	1.90%	---	---	---	1.49%	2.00%
1261	519764	交银卓越回报	9月12日	1.02	1.02	-0.10%	-0.10%	0.10%	1.59%	1.90%	---	---	---	---	2.00%
1262	002769	兴业聚盛灵活	9月13日	1.022	1.022	0.10%	-0.10%	0.10%	0.79%	---	---	---	---	---	0.79%
1263	001999	博时安荣18	9月9日	1.021	1.062	---	-0.10%	0.29%	2.39%	2.19%	---	---	---	3.48%	6.28%
1264	001823	光大鼎鑫混合	9月13日	1.021	1.021	0.10%	-0.10%	0.49%	2.10%	3.24%	---	---	---	1.19%	1.49%
1265	002504	鹏华金鼎保本	9月13日	1.019	1.019	-0.10%	-0.10%	-0.10%	1.90%	---	---	---	---	---	2.00%
1266	001848	国寿安保尊盈	9月9日	1.019	1.019	---	-0.10%	0.39%	2.31%	2.62%	---	---	---	2.41%	1.90%
1267	002420	汇添富盈鑫保	9月13日	1.02	1.02	0.10%	-0.10%	0.00%	2.10%	1.90%	---	---	---	---	1.90%
1268	002715	新华健康生活	9月13日	1.018	1.018	0.00%	-0.10%	-0.10%	---	---	---	---	---	---	1.80%
