序号	基金代码	基金简称	日期	单位净值	累计净值	日增长率	近1周	近1月	近3月	近6月	近1年	近2年	近3年	今年来	成立来
1352	001329	鹏华弘实混合	9月13日	1.0834	1.0834	-0.05%	-0.12%	0.31%	3.64%	5.64%	7.96%	---	---	6.47%	8.39%
1353	001330	鹏华弘实混合	9月13日	1.1577	1.1577	-0.05%	-0.12%	0.29%	3.58%	6.56%	8.76%	---	---	7.35%	15.83%
1354	162414	华宝新机遇混	9月13日	1.0642	1.0642	0.02%	-0.12%	0.12%	2.52%	3.64%	6.19%	---	---	3.41%	6.40%
1355	162102	金鹰中小盘精	9月13日	1.0511	2.9344	0.24%	-0.12%	1.54%	2.59%	13.35%	5.46%	39.15%	68.34%	-12.07%	372.87%
1356	000110	金鹰元安保本	9月13日	1.0439	1.3119	0.01%	-0.12%	-0.17%	0.36%	1.16%	1.94%	18.65%	30.84%	-0.10%	31.18%
1357	260104	景顺长城内需	9月13日	4.752	6.598	-0.38%	-0.13%	2.74%	7.22%	19.28%	7.86%	2.54%	15.17%	-13.19%	817.44%
1358	688888	浙商聚潮产业	9月13日	1.595	1.595	0.69%	-0.13%	1.15%	6.31%	17.94%	16.04%	83.76%	66.74%	-4.46%	58.40%
1359	485107	工银信用添利	9月13日	1.2627	1.8197	0.13%	-0.13%	-0.77%	3.45%	2.96%	9.24%	35.85%	42.06%	2.68%	101.68%
1360	090006	大成2020	9月13日	0.786	2.608	0.13%	-0.13%	3.15%	6.22%	8.43%	8.73%	29.11%	21.14%	-6.21%	153.99%
1361	485007	工银信用添利	9月13日	1.2573	1.7783	0.14%	-0.13%	-0.81%	3.34%	2.75%	8.76%	34.84%	40.47%	2.37%	95.03%
1362	750005	安信平稳增长	9月13日	1.559	1.559	-0.06%	-0.13%	0.78%	4.98%	7.22%	8.41%	51.90%	52.49%	7.96%	56.00%
1363	530006	建信核心精选	9月13日	1.552	2.437	0.39%	-0.13%	1.05%	5.17%	12.35%	4.46%	45.44%	59.39%	-13.10%	218.50%
1364	001166	建信环保产业	9月13日	0.776	0.776	0.39%	-0.13%	1.44%	5.89%	16.42%	0.91%	---	---	-12.16%	-22.70%
1365	003023	博时景发纯债	9月13日	1.0021	1.0021	0.08%	-0.13%	-0.26%	---	---	---	---	---	---	0.13%
1366	001172	鹏华弘泽混合	9月13日	1.0753	1.0753	0.01%	-0.13%	0.06%	1.21%	3.19%	4.59%	---	---	3.68%	7.52%
1367	519115	浦银安盛红利	9月13日	1.541	1.541	0.65%	-0.13%	2.55%	0.46%	24.98%	18.22%	29.42%	53.10%	-17.82%	53.10%
1368	460003	华泰柏瑞稳本	9月13日	0.9774	1.3724	0.12%	-0.13%	-0.73%	1.30%	1.28%	2.45%	5.69%	11.66%	-4.88%	36.58%
1369	530001	建信恒久价值	9月13日	0.8256	3.0587	0.44%	-0.13%	1.04%	4.54%	11.11%	4.29%	31.00%	50.16%	-14.76%	351.32%
1370	001607	英大策略优选	9月13日	1.0407	1.0407	0.03%	-0.13%	-0.17%	0.81%	2.50%	---	---	---	2.00%	4.04%
1371	240012	华宝增强债券	9月13日	1.4798	1.4998	0.06%	-0.13%	0.20%	1.47%	1.82%	5.01%	24.91%	33.35%	3.08%	50.74%
1372	001524	华泰柏瑞精选	9月13日	1.0131	1.0131	0.08%	-0.14%	-0.66%	1.19%	---	---	---	---	---	1.23%
1373	002896	东方臻馨债券	9月13日	1.0065	1.0065	0.11%	-0.14%	0.28%	---	---	---	---	---	---	0.65%
1374	240013	华宝增强债券	9月13日	1.4352	1.4552	0.06%	-0.14%	0.17%	1.36%	1.62%	4.59%	23.90%	31.75%	2.79%	46.22%
1375	000199	国泰策略收益	9月13日	1.405	1.663	-0.21%	-0.14%	5.23%	6.51%	25.16%	27.77%	50.80%	66.47%	-6.07%	66.64%
1376	000067	民生加银转债	9月13日	0.691	1.091	0.00%	-0.14%	1.62%	4.70%	2.07%	-8.60%	-8.96%	-5.83%	-18.13%	-4.04%
1377	000639	宝盈祥瑞养老	9月13日	1.382	1.462	0.07%	-0.14%	-0.14%	1.40%	2.60%	4.46%	42.70%	---	0.22%	48.97%
1378	000068	民生加银转债	9月13日	0.688	1.078	0.00%	-0.15%	1.47%	4.56%	1.93%	-8.87%	-9.47%	-6.71%	-18.29%	-5.12%
1379	519050	海富通养老收	9月13日	1.373	1.373	0.00%	-0.15%	0.22%	0.81%	2.01%	3.86%	32.27%	35.40%	1.70%	37.30%
1380	519197	万家颐达	9月13日	1.0105	1.0105	0.00%	-0.15%	-0.33%	1.03%	---	---	---	---	---	1.05%
1381	002897	东方臻馨债券	9月13日	1.0062	1.0062	0.11%	-0.15%	0.29%	---	---	---	---	---	---	0.62%
1382	519163	新华信用增益	9月13日	1.326	1.326	0.00%	-0.15%	0.15%	2.79%	7.63%	9.14%	16.01%	---	7.19%	32.60%
1383	000463	华商双债丰利	9月13日	1.301	1.646	0.15%	-0.15%	-0.08%	1.55%	4.85%	11.40%	49.25%	---	3.02%	70.60%
1384	460008	华泰柏瑞稳健	9月13日	1.298	1.298	0.15%	-0.15%	-0.99%	1.65%	1.41%	6.14%	18.14%	24.74%	1.17%	29.60%
1385	000590	华安新活力混	9月13日	1.289	1.289	0.00%	-0.15%	0.16%	1.82%	2.87%	4.37%	26.62%	---	2.87%	28.90%
1386	002701	东方红汇阳债	9月13日	1.0298	1.0298	0.04%	-0.16%	-0.12%	3.04%	---	---	---	---	---	2.94%
1387	040012	华安强化债券	9月13日	1.283	1.745	-0.08%	-0.16%	-0.31%	0.47%	1.90%	1.55%	51.64%	53.01%	0.60%	87.50%
1388	460108	华泰柏瑞稳健	9月13日	1.279	1.279	0.16%	-0.16%	-1.01%	1.51%	1.19%	5.71%	17.16%	23.38%	0.87%	27.70%
1389	040013	华安强化债券	9月13日	1.265	1.7	-0.08%	-0.16%	-0.31%	0.32%	1.61%	1.09%	50.41%	51.19%	0.28%	81.86%
1390	210001	金鹰成份优选	9月13日	0.9473	2.8178	0.06%	-0.16%	-0.02%	1.54%	3.82%	3.95%	47.21%	47.53%	0.80%	269.09%
1391	320015	诺安保本	9月13日	1.259	1.531	0.08%	-0.16%	-0.16%	0.64%	4.92%	7.52%	21.19%	31.24%	-1.02%	53.02%
1392	519729	交银荣泰保本	9月13日	1.252	1.387	0.16%	-0.16%	0.24%	1.54%	2.97%	9.46%	31.88%	---	-1.81%	40.65%
1393	002417	招商丰盛稳定	9月13日	1.249	1.249	0.00%	-0.16%	0.08%	3.22%	---	---	---	---	---	24.90%
1394	166801	浙商聚潮新思	9月13日	2.498	2.498	0.60%	-0.16%	0.98%	5.26%	15.27%	15.06%	80.71%	110.42%	-2.78%	148.30%
1395	001324	华宝新价值混	9月13日	1.0493	1.0493	0.02%	-0.16%	0.16%	1.48%	2.50%	4.39%	---	---	3.41%	4.91%
1396	000530	招商丰盛稳定	9月13日	1.226	1.226	0.00%	-0.16%	0.16%	1.66%	5.96%	6.15%	18.23%	---	0.66%	22.60%
1397	020027	国泰信用债券	9月13日	1.226	1.226	0.08%	-0.16%	0.16%	1.83%	1.66%	4.17%	12.08%	17.56%	1.58%	22.50%
1398	002702	东方红汇阳债	9月13日	1.0285	1.0285	0.04%	-0.17%	-0.16%	2.92%	---	---	---	---	---	2.81%
1399	000679	招商丰利灵活	9月13日	1.201	1.201	0.00%	-0.17%	0.00%	1.18%	6.19%	6.28%	19.50%	---	-0.17%	20.10%
1400	000664	国联安通盈混	9月13日	1.198	1.251	0.00%	-0.17%	0.17%	1.70%	4.90%	6.21%	24.46%	---	4.54%	25.83%
1401	163415	兴全商业模式	9月13日	1.805	2.281	0.45%	-0.17%	1.76%	8.19%	29.28%	37.55%	104.88%	134.91%	2.22%	145.25%
1402	001652	德邦纯债18	9月9日	1.018	1.018	---	-0.17%	0.00%	0.75%	0.75%	---	---	---	1.70%	1.80%
1403	002485	国联安通盈混	9月13日	1.192	1.245	0.00%	-0.17%	0.08%	1.62%	4.47%	---	---	---	---	4.56%
1404	400013	东方保本	9月13日	1.19	1.397	0.08%	-0.17%	0.34%	3.21%	3.66%	5.97%	21.93%	28.96%	3.93%	40.05%
1405	000417	国联安新精选	9月13日	1.191	1.313	0.08%	-0.17%	-0.08%	1.45%	2.41%	4.55%	29.47%	---	2.06%	31.93%
1406	519685	交银双利债券	9月12日	1.19	1.525	-0.17%	-0.17%	-0.58%	0.17%	-0.33%	2.15%	24.90%	28.14%	-1.82%	57.81%
1407	001355	广发聚泰混合	9月13日	1.18	1.18	0.00%	-0.17%	-0.17%	1.11%	0.25%	1.90%	---	---	0.77%	18.00%
1408	519020	国泰金泰平衡	9月13日	1.179	1.087	0.00%	-0.17%	0.26%	2.34%	4.71%	9.74%	18.75%	14.06%	3.51%	18.63%
1409	519738	交银周期回报	9月12日	1.176	1.356	-0.17%	-0.17%	-0.25%	1.64%	2.53%	5.63%	32.34%	---	2.00%	38.16%
1410	001451	东方稳定增利	9月13日	1.0552	1.0552	-0.01%	-0.17%	1.35%	4.19%	3.86%	---	---	---	2.50%	5.52%
1411	090008	大成强化收益	9月13日	1.172	1.372	0.00%	-0.17%	0.26%	1.74%	2.99%	-0.93%	18.38%	19.05%	-7.57%	40.82%
1412	210007	金鹰技术领先	9月13日	1.168	1.698	0.17%	-0.17%	-0.09%	0.00%	5.43%	8.87%	56.59%	91.70%	3.28%	69.48%
1413	000277	博时双月薪定	9月9日	1.148	1.436	---	-0.17%	0.44%	3.71%	6.06%	11.46%	29.43%	---	5.89%	43.60%
1414	000876	建信稳定得利	9月13日	1.139	1.139	0.00%	-0.18%	0.00%	2.34%	3.73%	5.56%	---	---	1.52%	13.90%
1415	000717	融通转型三动	9月13日	1.141	1.141	0.26%	-0.18%	0.44%	4.60%	11.46%	7.06%	---	---	-15.70%	13.80%
1416	001653	德邦纯债18	9月9日	1.0149	1.0149	---	-0.18%	-0.05%	0.64%	0.53%	---	---	---	1.42%	1.49%
1417	000356	南方丰元C	9月12日	1.127	1.275	-0.09%	-0.18%	-0.70%	1.99%	2.08%	6.83%	18.34%	---	2.83%	29.44%
1418	002192	东方鼎新灵活	9月13日	1.0655	1.0655	0.08%	-0.18%	0.39%	2.38%	---	---	---	---	---	2.00%
1419	162511	国联安双佳信	9月13日	1.12	1.12	0.09%	-0.18%	-0.27%	2.47%	3.32%	7.49%	21.54%	32.96%	4.68%	42.81%
1420	233012	大摩多元收益	9月13日	1.661	1.661	0.00%	-0.18%	0.36%	3.94%	5.66%	14.32%	38.76%	46.34%	4.80%	66.10%
1421	001445	华安国企改革	9月13日	1.113	1.113	0.54%	-0.18%	1.37%	2.60%	25.94%	26.66%	---	---	-10.44%	10.70%
1422	233007	大摩卓越成长	9月13日	2.4423	2.4423	1.03%	-0.18%	0.66%	8.67%	14.31%	24.71%	60.81%	81.64%	-13.92%	141.73%
1423	400023	东方多策略灵	9月13日	1.2626	1.2626	-0.03%	-0.18%	-0.04%	1.44%	0.94%	3.61%	22.73%	---	0.96%	26.26%
1424	001257	兴业收益增强	9月13日	1.094	1.094	0.00%	-0.18%	0.55%	4.69%	5.70%	8.21%	---	---	2.82%	9.40%
1425	675011	西部利得稳健	9月13日	1.092	1.092	0.00%	-0.18%	0.46%	3.12%	3.31%	1.11%	5.61%	7.37%	0.46%	9.20%
1426	000289	鹏华丰泰定期	9月13日	1.0868	1.3288	-0.06%	-0.18%	-0.02%	4.36%	4.16%	7.74%	28.72%	---	6.40%	36.60%
1427	233013	大摩多元收益	9月13日	1.631	1.631	0.06%	-0.18%	0.31%	3.76%	5.43%	13.83%	37.44%	44.25%	4.42%	63.00%
1428	001258	兴业收益增强	9月13日	1.087	1.087	0.00%	-0.18%	0.46%	4.52%	5.43%	7.62%	---	---	2.55%	8.70%
1429	206001	鹏华弘泰A	9月13日	1.031	5.172	0.01%	-0.18%	-0.06%	1.27%	2.27%	3.50%	25.01%	44.37%	2.58%	478.54%
1430	001598	招商丰融混合	9月13日	1.084	1.084	0.00%	-0.18%	-0.18%	2.85%	7.33%	---	---	---	8.18%	8.40%
1431	001429	博时新财富混	9月13日	1.08	1.08	0.09%	-0.18%	-0.09%	4.66%	5.17%	8.33%	---	---	5.17%	7.90%
1432	001201	申万菱信安鑫	9月13日	1.08	1.08	0.09%	-0.18%	-0.18%	3.45%	4.25%	6.41%	---	---	4.76%	7.90%
1433	001951	金鹰改革红利	9月13日	1.078	1.078	0.19%	-0.19%	0.00%	0.19%	6.53%	---	---	---	7.39%	7.60%
1434	000295	鹏华丰实定期	9月13日	1.072	1.308	0.00%	-0.19%	0.28%	3.57%	3.66%	7.32%	25.89%	33.86%	5.75%	33.86%
1435	002090	长盛盛鑫混合	9月12日	1.071	1.071	-0.19%	-0.19%	6.99%	---	---	---	---	---	---	7.10%
1436	519969	长信新利灵活	9月13日	1.069	1.069	-0.09%	-0.19%	0.09%	2.39%	11.34%	-15.08%	---	---	-21.55%	7.00%
1437	001174	中欧瑾和灵活	9月13日	1.07	1.07	0.00%	-0.19%	0.38%	2.98%	2.59%	4.90%	---	---	3.18%	7.00%
1438	001159	大成景秀灵活	9月13日	1.065	1.065	0.00%	-0.19%	-0.28%	1.04%	1.33%	4.51%	---	---	2.21%	6.50%
1439	001196	东方鼎新灵活	9月13日	1.0649	1.0649	0.08%	-0.19%	0.47%	2.53%	2.47%	4.11%	---	---	2.64%	6.49%
1440	001501	招商丰裕混合	9月13日	1.059	1.059	0.00%	-0.19%	0.00%	1.83%	4.75%	---	---	---	5.16%	5.90%
1441	001502	招商丰裕混合	9月13日	1.059	1.059	0.00%	-0.19%	0.00%	1.63%	4.44%	---	---	---	5.27%	5.90%
1442	002648	东方合家保本	9月13日	1.0056	1.0056	0.01%	-0.19%	-0.20%	---	---	---	---	---	---	0.55%
1443	001265	国泰兴益灵活	9月13日	1.057	1.057	0.09%	-0.19%	0.09%	2.52%	3.23%	5.60%	---	---	2.72%	5.60%
1444	001686	安信新动力混	9月13日	1.055	1.055	0.09%	-0.19%	0.19%	3.33%	3.94%	---	---	---	5.19%	5.40%
1445	001358	宝盈祥泰养老	9月13日	1.051	1.051	0.00%	-0.19%	-0.10%	1.25%	1.64%	4.16%	---	---	1.45%	5.10%
1446	519676	银河强化债券	9月13日	1.58	1.58	0.19%	-0.19%	0.51%	3.34%	3.07%	6.70%	36.77%	37.85%	4.51%	57.70%
1447	002020	国都创新驱动	9月12日	1.049	1.049	-0.66%	-0.19%	0.58%	2.04%	4.90%	---	---	---	4.90%	4.90%
1448	001320	工银丰盈回报	9月13日	1.047	1.047	0.00%	-0.19%	-0.29%	1.45%	1.85%	3.15%	---	---	2.25%	4.70%
1449	000466	融通通瑞债券	9月13日	1.045	1.12	0.00%	-0.19%	-0.10%	1.65%	2.65%	3.67%	7.37%	---	-2.88%	12.30%
1450	002362	国富恒瑞债券	9月13日	1.046	1.046	0.19%	-0.19%	0.29%	2.65%	4.61%	---	---	---	---	4.40%
1451	001671	长城新策略混	9月13日	1.043	1.043	-0.10%	-0.19%	-0.19%	0.58%	2.55%	---	---	---	-1.04%	4.40%
1452	000327	南方丰合	9月12日	1.043	1.043	-0.19%	-0.19%	0.00%	1.66%	3.17%	5.57%	---	---	2.86%	4.30%
1453	001863	东方红收益增	9月13日	1.043	1.043	0.00%	-0.19%	-0.10%	3.27%	4.30%	---	---	---	2.15%	4.30%
1454	206013	鹏华金刚保本	9月13日	1.043	1.454	0.00%	-0.19%	0.00%	2.56%	2.15%	2.86%	33.12%	40.72%	2.86%	45.36%
1455	002087	国富新机遇混	9月13日	1.042	1.042	0.10%	-0.19%	0.48%	2.56%	3.48%	---	---	---	3.79%	4.10%
1456	000720	南方稳利1年	9月12日	1.041	1.255	-0.10%	-0.19%	-0.75%	5.44%	5.03%	9.95%	17.01%	---	5.65%	17.47%
1457	519652	银河鑫利混合	9月13日	1.039	1.039	0.10%	-0.19%	0.29%	0.87%	1.37%	2.47%	---	---	1.67%	3.80%
1458	050028	博时安心收益	9月9日	1.037	1.324	---	-0.19%	0.19%	3.60%	3.70%	9.06%	23.42%	29.76%	3.43%	33.13%
1459	217024	招商安盈保本	9月13日	1.037	1.39	0.00%	-0.19%	-0.38%	0.97%	1.07%	3.64%	23.64%	33.90%	1.37%	40.33%
1460	001775	鹏华弘泰C	9月13日	1.0372	1.0372	0.01%	-0.19%	-0.09%	1.18%	2.18%	3.71%	---	---	2.28%	3.71%
1461	002356	博时安泰18	9月9日	1.036	1.036	---	-0.19%	0.00%	3.08%	3.19%	---	---	---	---	3.60%
1462	001846	国寿安保稳健	9月13日	1.036	1.036	0.00%	-0.19%	0.10%	2.88%	5.18%	---	---	---	2.78%	3.60%
1463	001263	大成景穗灵活	9月13日	1.033	1.033	0.00%	-0.19%	-0.10%	-0.67%	0.29%	2.68%	---	---	0.68%	3.30%
1464	002357	博时安泰18	9月9日	1.033	1.033	---	-0.19%	0.10%	2.99%	2.99%	---	---	---	---	3.30%
1465	001087	华富恒利债券	9月13日	1.032	1.032	0.00%	-0.19%	0.39%	3.72%	3.72%	3.20%	---	---	1.57%	3.20%
1466	519653	银河鑫利混合	9月13日	1.033	1.033	0.10%	-0.19%	0.19%	0.78%	1.08%	1.88%	---	---	1.18%	3.20%
1467	001467	华富永鑫灵活	9月13日	1.032	1.032	0.00%	-0.19%	-0.10%	2.38%	2.48%	3.41%	---	---	2.79%	3.20%
1468	001252	中海进取收益	9月13日	1.032	1.032	0.00%	-0.19%	-0.29%	1.88%	1.67%	4.24%	---	---	2.18%	3.20%
1469	002148	国寿安保稳健	9月13日	1.032	1.032	0.00%	-0.19%	0.49%	3.61%	5.31%	---	---	---	2.99%	3.20%
1470	002048	博时安誉18	9月9日	1.032	1.047	---	-0.19%	0.19%	3.40%	3.61%	---	---	---	3.50%	4.75%
1471	002422	新华信用增强	9月13日	1.032	1.032	0.00%	-0.19%	0.29%	2.99%	---	---	---	---	---	3.20%
1472	002603	工银瑞丰纯债	9月9日	1.029	1.029	---	-0.19%	0.39%	2.49%	---	---	---	---	---	2.90%
1473	001228	国联安鑫享灵	9月13日	1.028	1.028	0.00%	-0.19%	-0.29%	0.78%	1.88%	2.49%	---	---	0.10%	2.80%
1474	002565	创金合信鑫安	9月13日	1.029	1.029	0.10%	-0.19%	0.49%	2.80%	---	---	---	---	---	2.80%
1475	001840	招商丰享混合	9月13日	1.027	1.027	0.00%	-0.19%	0.00%	1.48%	4.05%	---	---	---	2.60%	2.70%
1476	002566	创金合信鑫安	9月13日	1.027	1.027	0.10%	-0.19%	0.49%	2.60%	---	---	---	---	---	2.60%
1477	002407	前海开源恒远	9月13日	1.024	1.024	0.20%	-0.20%	0.10%	2.51%	---	---	---	---	---	2.20%
1478	001491	国泰生益灵活	9月13日	1.021	1.021	0.10%	-0.20%	-0.10%	0.99%	1.29%	2.82%	---	---	1.59%	2.00%
1479	001933	华商新兴活力	9月13日	1.023	1.023	0.29%	-0.20%	-0.10%	2.93%	2.00%	---	---	---	---	2.00%
1480	002227	长城新优选混	9月13日	1.02	1.02	0.00%	-0.20%	0.10%	1.69%	---	---	---	---	---	2.00%
1481	001393	国富金融地产	9月13日	1.021	1.021	0.10%	-0.20%	0.10%	2.10%	3.13%	4.72%	---	---	2.82%	2.00%
1482	002075	光大睿鑫混合	9月13日	1.019	1.019	0.00%	-0.20%	-0.39%	1.90%	0.79%	---	---	---	1.60%	1.90%
1483	210014	金鹰元丰保本	9月13日	1.018	1.246	0.00%	-0.20%	0.20%	1.19%	1.80%	2.57%	19.38%	24.36%	0.33%	24.61%
1484	001650	工银丰收回报	9月13日	1.018	1.018	0.00%	-0.20%	-0.39%	1.80%	2.72%	---	---	---	1.19%	1.80%
1485	002716	博时裕通纯债	9月13日	1.02	1.02	0.20%	-0.20%	-0.78%	1.19%	---	---	---	---	---	1.80%
1486	001613	长城久祥保本	9月13日	1.016	1.016	-0.10%	-0.20%	-0.49%	1.70%	1.50%	---	---	---	1.60%	1.70%
1487	002156	长盛盛世混合	9月12日	1.017	1.017	-0.20%	-0.20%	0.30%	1.09%	1.40%	---	---	---	1.60%	1.70%
1488	002505	鹏华金鼎保本	9月13日	1.016	1.016	0.00%	-0.20%	-0.29%	1.70%	---	---	---	---	---	1.60%
1489	002358	国投瑞银瑞祥	9月13日	1.015	1.015	0.00%	-0.20%	-0.20%	1.10%	1.50%	---	---	---	---	1.50%
1490	002233	工银丰收回报	9月13日	1.012	1.012	0.00%	-0.20%	-0.49%	1.61%	2.33%	---	---	---	0.60%	1.20%
1491	673030	西部利得多策	9月13日	1.011	1.011	0.10%	-0.20%	-0.10%	0.60%	1.30%	2.23%	---	---	1.30%	1.00%
1492	002718	红塔红土盛隆	9月13日	1.01	1.01	0.00%	-0.20%	-0.10%	1.00%	---	---	---	---	---	1.00%
1493	002110	中海中鑫灵活	9月13日	1.01	1.01	0.00%	-0.20%	-0.20%	0.40%	1.92%	---	---	---	0.90%	1.00%
1494	166020	中欧成长优选	9月13日	1.012	1.276	0.20%	-0.20%	0.30%	0.58%	0.42%	1.92%	13.74%	27.95%	-2.23%	28.07%
1495	000362	国泰聚信价值	9月13日	2.028	2.028	0.50%	-0.20%	1.41%	10.09%	22.67%	17.33%	91.28%	---	5.10%	101.80%
1496	002544	长城久益保本	9月13日	1.009	1.009	0.00%	-0.20%	-0.10%	0.90%	---	---	---	---	---	0.90%
1497	002708	大摩健康产业	9月13日	1.008	1.008	0.00%	-0.20%	0.50%	---	---	---	---	---	---	0.80%
1498	000363	国泰聚信价值	9月13日	2.024	2.024	0.50%	-0.20%	1.36%	9.93%	22.28%	16.75%	89.46%	---	4.68%	101.40%
1499	000304	长盛双月红定	9月9日	1.006	1.181	---	-0.20%	0.18%	2.80%	1.88%	5.64%	12.53%	---	1.38%	19.49%
1500	000303	长盛双月红定	9月9日	1.006	1.188	---	-0.20%	0.18%	2.79%	1.97%	5.84%	13.08%	---	1.58%	20.36%
1501	002604	华夏新起点混	9月13日	1.006	1.006	0.10%	-0.20%	0.00%	---	---	---	---	---	---	0.50%
1502	000166	中海安鑫保本	9月13日	1.005	1.395	0.10%	-0.20%	-0.30%	-0.59%	-0.20%	0.40%	30.86%	39.64%	-0.30%	39.36%
1503	002644	大成景荣保本	9月13日	1.003	1.003	0.00%	-0.20%	-0.20%	0.10%	---	---	---	---	---	0.30%
1504	003190	创金合信鑫回	9月12日	1.003	1.003	-0.10%	-0.20%	---	---	---	---	---	---	---	0.30%
1505	002596	华商保本1号	9月13日	1.002	1.002	0.00%	-0.20%	-0.50%	-0.20%	---	---	---	---	---	0.20%
1506	161232	国投瑞银瑞盛	9月13日	1.001	1.001	0.00%	-0.20%	-0.10%	0.10%	---	---	---	---	---	0.10%
1507	110028	易方达安心债	9月13日	1.502	2.297	0.13%	-0.20%	0.60%	4.68%	6.91%	9.41%	80.34%	110.32%	-4.76%	141.58%
1508	002089	长盛盛鑫混合	9月12日	1	1	-0.20%	-0.20%	-0.20%	---	---	---	---	---	---	0.00%
1509	000984	民生加银新收	9月13日	0.989	0.989	0.20%	-0.20%	0.20%	2.28%	3.35%	---	---	---	-1.10%	-1.30%
1510	001791	大成绝对收益	9月13日	0.987	0.987	0.10%	-0.20%	-0.40%	-0.20%	-1.00%	---	---	---	-2.18%	-1.40%
1511	000987	民生加银新收	9月13日	0.988	0.988	0.20%	-0.20%	0.20%	2.28%	3.25%	---	---	---	-1.20%	-1.40%
1512	519977	长信可转债债	9月13日	1.23	2.19	0.02%	-0.20%	0.51%	1.61%	2.39%	-0.45%	88.95%	102.27%	-9.75%	138.11%
1513	000511	国泰国策驱动	9月13日	1.473	1.473	0.00%	-0.20%	-0.27%	2.36%	4.99%	5.97%	33.67%	---	3.95%	47.30%
1514	519058	海富通双福分	9月13日	0.98	1.411	0.00%	-0.20%	-0.71%	-2.10%	-2.40%	-0.88%	32.19%	---	-3.21%	40.25%
1515	002303	金鹰智慧生活	9月13日	0.98	0.98	0.00%	-0.20%	0.00%	-2.00%	---	---	---	---	---	-2.00%
1516	002651	东方红汇利债	9月13日	1.0257	1.0257	0.02%	-0.20%	-0.10%	---	---	---	---	---	---	2.55%
1517	002652	东方红汇利债	9月13日	1.0246	1.0246	0.01%	-0.20%	-0.13%	---	---	---	---	---	---	2.45%
1518	001484	天弘新价值混	9月13日	1.0717	1.0717	0.07%	-0.20%	0.11%	3.32%	3.34%	5.80%	---	---	4.76%	7.08%
1519	001670	长城新策略混	9月13日	0.972	0.972	0.00%	-0.21%	-0.21%	0.62%	0.83%	---	---	---	-3.67%	-2.80%
1520	550008	信诚优胜精选	9月13日	1.949	1.949	0.31%	-0.21%	3.13%	7.71%	25.03%	25.76%	56.82%	85.58%	-10.63%	94.30%
1521	519976	长信可转债债	9月13日	1.2138	2.1208	0.02%	-0.21%	0.48%	1.50%	2.17%	-0.90%	84.74%	94.97%	-10.02%	127.68%
1522	002383	大成趋势回报	9月13日	0.962	0.962	0.21%	-0.21%	1.27%	-2.93%	---	---	---	---	---	-4.00%
1523	420009	天弘安康养老	9月13日	1.437	1.437	0.00%	-0.21%	0.35%	3.68%	4.66%	6.44%	27.17%	38.71%	2.86%	43.70%
1524	002781	博时聚瑞纯债	9月13日	1.007	1.007	0.17%	-0.21%	-0.64%	0.37%	---	---	---	---	---	0.53%
1525	002104	博时新价值A	9月13日	1.05	1.05	0.09%	-0.21%	-0.79%	4.64%	---	---	---	---	---	4.91%
1526	320021	诺安双利债券	9月13日	1.421	1.421	0.14%	-0.21%	0.28%	2.75%	3.80%	2.38%	19.55%	40.49%	-0.70%	41.90%
1527	002186	国联安鑫享灵	9月13日	1.406	1.406	0.00%	-0.21%	-0.21%	0.86%	38.66%	---	---	---	37.04%	37.17%
1528	001156	申万菱信新能	9月13日	0.931	0.931	0.00%	-0.21%	-0.11%	-2.62%	2.65%	-2.82%	---	---	-4.02%	-6.90%
1529	000065	国富焦点驱动	9月13日	1.381	1.477	0.07%	-0.22%	-0.07%	2.00%	3.53%	5.24%	32.85%	43.24%	3.06%	48.39%
1530	213001	宝盈鸿利收益	9月13日	0.924	2.901	0.65%	-0.22%	0.44%	3.15%	10.07%	21.27%	26.50%	80.32%	-18.69%	321.61%
1531	001729	银华逆向投资	9月9日	0.917	0.917	---	-0.22%	0.00%	2.69%	4.32%	---	---	---	-12.25%	-8.30%
1532	000260	信诚季季定期	9月13日	1.333	1.476	0.00%	-0.22%	-0.74%	1.76%	4.19%	11.19%	40.15%	50.94%	1.93%	50.94%
1533	000457	上投摩根核心	9月13日	1.778	1.778	0.97%	-0.23%	1.44%	8.91%	24.98%	21.11%	57.65%	---	1.15%	76.10%
1534	213007	宝盈增强收益	9月13日	1.3618	1.7338	0.01%	-0.23%	-0.38%	1.13%	1.48%	2.76%	25.07%	34.50%	-1.15%	87.17%
1535	180010	银华优质增长	9月13日	1.4094	3.848	0.46%	-0.23%	2.25%	5.31%	18.84%	2.54%	25.14%	46.44%	-9.26%	351.23%
1536	020009	国泰金鹏蓝筹	9月13日	0.869	2.42	-0.69%	-0.23%	1.39%	4.67%	14.23%	7.12%	50.03%	59.39%	-4.89%	239.53%
1537	001037	国投瑞银锐意	9月13日	0.886	0.886	1.72%	-0.23%	3.94%	7.80%	15.98%	10.67%	---	---	-12.99%	-12.90%
1538	001939	光大睿鑫混合	9月13日	1.302	1.302	0.08%	-0.23%	-0.38%	1.96%	1.80%	---	---	---	29.84%	30.10%
1539	240008	华宝收益增长	9月13日	5.6447	5.6447	1.19%	-0.23%	1.38%	5.46%	13.10%	11.47%	33.01%	42.29%	-11.11%	457.82%
1540	000526	国泰浓益灵活	9月13日	1.297	1.297	0.00%	-0.23%	-0.23%	2.53%	2.45%	4.34%	25.44%	---	1.49%	29.70%
